[06:14:00] ====================================
[06:14:00] Dumping class: PlayerManager
[06:14:00] ====================================
[23:26:21] get_paused_counter_name_by_peer (function)
[23:26:21] send_set_status (function)
[23:26:21] _calc_armor_damage (function)
[23:26:21] is_suppressed (function)
[23:26:21] _damage_screen (function)
[23:26:21] restore_health (function)
[23:26:21] _start_tinnitus (function)
[23:26:21] recharge_pistol_messiah (function)
[23:26:21] on_freed (function)
[23:26:21] chk_queue_taunt_line (function)
[23:26:21] on_tased (function)
[23:26:21] erase_tase_data (function)
[23:26:21] effective_suppression_ratio (function)
[23:26:21] _calc_health_damage (function)
[23:26:21] dead (function)
[23:26:21] _on_enter_swansong_event (function)
[23:26:21] set_peer_paused_counter (function)
[23:26:21] _chk_dmg_too_soon (function)
[23:26:21] add_damage_to_hot (function)
[23:26:21] on_copr_ability_activated (function)
[23:26:21] stop_vr_heartbeat (function)
[23:26:21] add_listener (function)
[23:26:21] clbk_kill_taunt (function)
[23:26:21] full_health (function)
[23:26:21] _upd_health_regen (function)
[23:26:21] get_mission_blocker (function)
[23:26:21] health_ratio (function)
[23:26:21] _update_can_take_dmg_timer (function)
[23:26:21] damage_melee (function)
[23:26:21] clbk_tinnitus_toggle_changed (function)
[23:26:21] _update_slowdowns_state (function)
[23:26:21] _check_update_max_armor (function)
[23:26:21] apply_slowdown (function)
[23:26:21] update_armor_stored_health (function)
[23:26:21] clear_delayed_damage (function)
[23:26:21] pause_arrested_timer (function)
[23:26:21] delay_damage (function)
[23:26:21] _HEALTH_INIT (number)
[23:26:21] __module__ (table)
[23:26:21] _update_delayed_damage (function)
[23:26:21] get_armor_regenerate_speed (function)
[23:26:21] mutator_update_attack_data (function)
[23:26:21] get_armor_regenerate_timer (function)
[23:26:21] _update_regen_on_the_side (function)
[23:26:21] _start_regen_on_the_side (function)
[23:26:21] focus_delay_mul (function)
[23:26:21] get_real_armor (function)
[23:26:21] revive (function)
[23:26:21] _update_slowdowns (function)
[23:26:21] _stop_tinnitus (function)
[23:26:21] stop_heartbeat (function)
[23:26:21] _upd_suppression (function)
[23:26:21] _stop_concussion (function)
[23:26:21] _start_concussion (function)
[23:26:21] tase_data (function)
[23:26:21] _on_use_armor_bag_event (function)
[23:26:21] set_invulnerable (function)
[23:26:21] on_copr_heal_received (function)
[23:26:21] reset_suppression (function)
[23:26:21] suppression_ratio (function)
[23:26:21] melee_hit_sfx (function)
[23:26:21] update_downed (function)
[23:26:21] build_suppression (function)
[23:26:21] _raw_max_armor (function)
[23:26:21] set_armor (function)
[23:26:21] remove_listener (function)
[23:26:21] _on_enter_bleedout_event (function)
[23:26:21] change_armor (function)
[23:26:21] on_incapacitated_state_enter (function)
[23:26:21] pre_destroy (function)
[23:26:21] on_flashbanged (function)
[23:26:21] damage_simple (function)
[23:26:21] on_arrested (function)
[23:26:21] get_revives_max (function)
[23:26:21] get_real_health (function)
[23:26:21] _send_set_revives (function)
[23:26:21] _set_health_effect (function)
[23:26:21] _init_armor_grinding_data (function)
[23:26:21] damage_fire (function)
[23:26:21] is_regenerating_armor (function)
[23:26:21] damage_bullet (function)
[23:26:21] _armor_damage_reduction (function)
[23:26:21] update (function)
[23:26:21] _check_chico_heal (function)
[23:26:21] down_time (function)
[23:26:21] check_ignore_reduce_revive (function)
[23:26:21] set_danger_level (function)
[23:26:21] got_messiah_charges (function)
[23:26:21] clear_armor_stored_health (function)
[23:26:21] _ARMOR_DAMAGE_REDUCTION (number)
[23:26:21] _ARMOR_INIT (number)
[23:26:21] recover_health (function)
[23:26:21] change_regenerate_speed (function)
[23:26:21] _regenerate_armor (function)
[23:26:21] _send_set_armor (function)
[23:26:21] _activate_combat_medic_damage_reduction (function)
[23:26:21] _update_armor_grinding (function)
[23:26:21] _add_on_damage_event (function)
[23:26:21] on_copr_ability_deactivated (function)
[23:26:21] armor_ratio (function)
[23:26:21] _update_armor_hud (function)
[23:26:21] on_fatal_state_enter (function)
[23:26:21] _send_set_health (function)
[23:26:21] max_armor_stored_health (function)
[23:26:21] on_non_lethal_electrocution (function)
[23:26:21] unpause_downed_timer (function)
[23:26:21] _max_armor (function)
[23:26:21] damage_fire_hit (function)
[23:26:21] add_armor_stored_health (function)
[23:26:21] unpause_arrested_timer (function)
[23:26:21] bleed_out (function)
[23:26:21] get_revives (function)
[23:26:21] update_arrested (function)
[23:26:21] restore_armor (function)
[23:26:21] shoot_pos_mid (function)
[23:26:21] play_whizby (function)
[23:26:21] _on_damage_armor_grinding (function)
[23:26:21] _ARMOR_STEPS (number)
[23:26:21] on_self_tased (function)
[23:26:21] got_max_doh_stacks (function)
[23:26:21] _chk_suppression_too_soon (function)
[23:26:21] _raw_max_health (function)
[23:26:21] _check_update_max_health (function)
[23:26:21] damage_tase (function)
[23:26:21] _send_damage_drama (function)
[23:26:21] is_berserker (function)
[23:26:21] _check_bleed_out (function)
[23:26:21] _drop_blood_sample (function)
[23:26:21] can_store_armor_health (function)
[23:26:21] pause_downed_timer (function)
[23:26:21] health_ratio_100 (function)
[23:26:21] _regenerated (function)
[23:26:21] ------------------------------------
[23:26:21] Found 185 members.
[23:26:21] ====================================
[23:26:21] ====================================
[23:26:21] Dumping class: PlayerMovement
[23:26:21] ====================================
[23:26:21] set_attention_settings (function)
[23:26:21] on_weapon_add (function)
[23:26:21] chk_action_forbidden (function)
[23:26:21] is_SPOOC_attack_allowed (function)
[23:26:21] _calculate_m_pose (function)
[23:26:21] save (function)
[23:26:21] set_position (function)
[23:26:21] m_detect_pos (function)
[23:26:21] destroy (function)
[23:26:21] set_block_input (function)
[23:26:21] sync_net_event (function)
[23:26:21] _feed_suspicion_to_hud (function)
[23:26:21] team (function)
[23:26:21] m_newest_pos (function)
[23:26:21] on_targetted_for_attack (function)
[23:26:21] is_physically_linked (function)
[23:26:21] morale_boost (function)
[23:26:21] on_morale_boost (function)
[23:26:21] m_stand_pos (function)
[23:26:21] stamina (function)
[23:26:21] warp_to (function)
[23:26:21] activate_regeneration (function)
[23:26:21] on_uncovered (function)
[23:26:21] downed (function)
[23:26:21] update_stamina (function)
[23:26:21] chk_play_mask_on_slow_mo (function)
[23:26:21] on_suspicion (function)
[23:26:21] warping (function)
[23:26:21] reset_ghost_position (function)
[23:26:21] change_state (function)
[23:26:21] ghost_position (function)
[23:26:21] set_ghost_position (function)
[23:26:21] rally_skill_data (function)
[23:26:21] __module__ (table)
[23:26:21] _post_init_vr (function)
[23:26:21] hmd_delta (function)
[23:26:21] clbk_morale_boost_expire (function)
[23:26:21] hmd_position (function)
[23:26:21] _update_vr (function)
[23:26:21] parent_clbk_unit_destroyed (function)
[23:26:21] m_rot (function)
[23:26:21] reset_next_reload_speed_multiplier (function)
[23:26:21] next_reload_speed_multiplier (function)
[23:26:21] set_next_reload_speed_multiplier (function)
[23:26:21] on_enter_zipline (function)
[23:26:21] on_exit_ladder (function)
[23:26:21] __index (table)
[23:26:21] _apply_attention_setting_modifications (function)
[23:26:21] interupt_interact (function)
[23:26:21] set_orientation_state (function)
[23:26:21] pre_destroy (function)
[23:26:21] inventory_clbk_listener (function)
[23:26:21] m_head_pos (function)
[23:26:21] set_m_pos (function)
[23:26:21] pos_rsrv_id (function)
[23:26:21] zipline_unit (function)
[23:26:21] m_right (function)
[23:26:21] _change_stamina (function)
[23:26:21] on_exit_zipline (function)
[23:26:21] push (function)
[23:26:21] clbk_msg_overwrite_suspicion (function)
[23:26:21] clbk_attention_notice_sneak (function)
[23:26:21] is_cuffed (function)
[23:26:21] tased (function)
[23:26:21] ladder_unit (function)
[23:26:21] clbk_enemy_weapons_hot (function)
[23:26:21] new (function)
[23:26:21] on_enter_ladder (function)
[23:26:21] m_fwd (function)
[23:26:21] is_stamina_drained (function)
[23:26:21] _STAMINA_INIT (number)
[23:26:21] SO_access (function)
[23:26:21] play_redirect (function)
[23:26:21] get_object (function)
[23:26:21] attention_handler (function)
[23:26:21] _setup_states (function)
[23:26:21] set_driving (function)
[23:26:21] update (function)
[23:26:21] add_stamina (function)
[23:26:21] running (function)
[23:26:21] in_clean_state (function)
[23:26:21] detect_look_dir (function)
[23:26:21] _restart_stamina_regen_timer (function)
[23:26:21] _init_vr (function)
[23:26:21] get_melee_damage_result (function)
[23:26:21] m_com (function)
[23:26:21] friendly_fire (function)
[23:26:21] on_tase_ended (function)
[23:26:21] on_ladder (function)
[23:26:21] is_above_stamina_threshold (function)
[23:26:21] in_air (function)
[23:26:21] _max_stamina (function)
[23:26:21] update_teleport (function)
[23:26:21] trigger_teleport (function)
[23:26:21] m_pos (function)
[23:26:21] set_friendly_fire (function)
[23:26:21] set_team (function)
[23:26:21] object_interaction_blocked (function)
[23:26:21] set_character_anim_variables (function)
[23:26:21] init (function)
[23:26:21] current_state_name (function)
[23:26:21] linked (function)
[23:26:21] _upd_underdog_skill (function)
[23:26:21] is_taser_attack_allowed (function)
[23:26:21] reset_hmd_position (function)
[23:26:21] on_non_lethal_electrocution (function)
[23:26:21] subtract_stamina (function)
[23:26:21] on_zipline (function)
[23:26:21] set_carry_restriction (function)
[23:26:21] _check_out_of_world (function)
[23:26:21] _calc_suspicion_ratio_and_sync (function)
[23:26:21] state_enter_time (function)
[23:26:21] current_state (function)
[23:26:21] has_teleport_data (function)
[23:26:21] crouching (function)
[23:26:21] set_running (function)
[23:26:21] _create_attention_setting_from_descriptor (function)
[23:26:21] nav_tracker (function)
[23:26:21] has_carry_restriction (function)
[23:26:21] OUT_OF_WORLD_Z (number)
[23:26:21] post_init (function)
[23:26:21] m_head_fwd (function)
[23:26:21] m_head_rot (function)
[23:26:21] teleporting (function)
[23:26:21] play_state (function)
[23:26:21] on_cuffed (function)
[23:26:21] on_SPOOCed (function)
[23:26:21] ------------------------------------
[23:26:21] Found 127 members.
[23:26:21] ====================================
[23:26:21] ====================================
[23:26:21] Dumping class: PlayerCamera
[23:26:21] ====================================
[23:26:21] ERROR: class is not a table (type=nil)
[23:26:21] ====================================
[23:26:21] Dumping class: CopBrain
[23:26:21] ====================================
[23:26:21] ERROR: class is not a table (type=nil)
[23:26:21] ====================================
[23:26:21] Dumping class: BaseInteractionExt
[23:26:21] ====================================
[23:26:21] ERROR: class is not a table (type=nil)
